HSB_1_250	Lampa, běłu swěcu, prošu.
HSB_1_227	Pisanska papjera produkuje so husto z drjewa.
HSB_1_228	Z tym smy zakłady za dalše narodnopolitiske skutkowanje w Delnjej Łužicy tworili.
HSB_1_229	Widźach před sobu opciju.
HSB_1_230	Wona fungowaše podobnje kaž dźensniše chłódźaki.
HSB_1_231	W zymje dyrbjachu chěžkarjo ze Zubornički sobu na hońtwu ćahać.
HSB_1_232	Třepotajo wróćichu so domoj a wostachu chorowaći na čas žiwjenja.
HSB_1_233	Na zaběru ze serbskej narodnej drastu so wažnosć kładźe.
HSB_1_234	Přiwšěm móhli wšitcy hižo nětko wo tym rozmyslować, što móhło so změnić.
HSB_1_235	Poskitki su přijomne, zajimawe a mnohostronske.
HSB_1_236	Wuslědki rewizijow so protokoluja a zwjazkowemu předsydstwu předpołoža.
HSB_1_237	Tola Sokoł njeskutkuje jenož na ćěło, ale tež na duch.
HSB_1_238	Zo by hnězdo tež prawje dołho dźeržało, zatwarjamy hišće rostlinske stwjelca.
HSB_1_239	Na tutym wječoru běše wón jara napjaty a połnje wočakowanja.
HSB_1_240	Ja wšitke dypki naliču.
HSB_1_241	Tuž by to woprawdźite dobyće było.
HSB_1_242	Wón je tón, kotryž dźěćom jich wosebite přinoški prezentuje.
HSB_1_243	Při tym so tež zjawne listy a protesty wobkedźbowachu a wobjednachu.
HSB_1_244	Hdźe wostanjetej po směrnicach Domowiny potom hornjoserbšćina a slepjanšćina?
HSB_1_245	Pisajće wo wěrnosći.
HSB_1_246	Zhromadne žiwjenje Serbow a Němcow wuznamjeni město Budyšin na cyle wosebite wašnje.
HSB_1_247	Nad tym so jara wjeselu a podpěruju to po swojich mocach.
HSB_1_248	Prěni króć wotměje so program łužiskich dorostowych skupin na Kralec statoku.
HSB_1_249	A pokaza na jednoho z dweju wučerjow na foće.
HSB_2_250	Swěca, zelene, prošu.
HSB_2_251	Ćopło-běłu barbu, prošu.
HSB_2_252	Lampa, pjećašěsćdźesać procentow.
HSB_2_253	Swěca, pjećašěsćdźesat procentow, prošu.
HSB_2_254	Swěca, přitulnu lampu.
HSB_2_255	Swěca, šěsćdźesat procentow.
HSB_2_256	Lampa, běłu lampu, prošu.
HSB_2_257	Běłu swěcu, prošu.
HSB_2_258	Lampa, pjećapjećdźesać procentow, prošu.
HSB_2_259	Lampa, pjećadźewjećdźesać procentow.
HSB_2_260	Swěca, daj pjećatřicći procentow.
HSB_2_261	Swěca, daj pjatnaće procentow.
HSB_2_262	Swěca, ćopło-běłu barbu, prošu.
HSB_2_263	Swěca, čerwjenu barbu, prošu.
HSB_2_264	Swěca, daj třicci procentow.
HSB_2_265	Swěca zaswěć so nětko.
HSB_2_266	Lampa, pjećasydomdźesać procentow, prošu.
HSB_2_267	Swěca, dwacci procentow, prošu.
HSB_2_268	Swěca, štyrcći procentow, prošu.
HSB_2_269	Lampa, zelenu swěcu, prošu.
HSB_2_270	Swěca, daj pjećaštyrcci procentow.
HSB_2_271	Lampa, módre, prošu.
HSB_2_272	Chłódno-běłu barbu, prošu.
HSB_2_273	Lampa, daj štyrcci procentow.
HSB_2_274	Prošu, lampa, zaswěć so.
HSB_2_275	Lampa, daj sto procentow.
HSB_2_276	Swěca, sto procentow, prošu.
HSB_2_277	Lampa, daj pjećawosomdźesat procentow.
HSB_2_278	Swěca, daj pjećašěsćdźesać procentow.
HSB_2_279	Swěca, pjećdźesat procentow, prošu.
HSB_2_280	Běłu swěcu, prošu.
HSB_2_281	Lampa, chłódno-běłu swěcu, prošu.
HSB_2_282	Lampa, pjećapjećdźesat procentow, prošu.
HSB_2_283	Lampa, zelenu swěcu, prošu.
HSB_2_284	Swěca, romantiku prošu.
HSB_2_285	Swěca, pjećadwaceći procentow, prošu.
HSB_2_286	Zelenu barbu, prošu.
HSB_2_287	Swěca, pjećapjećdźesat procentow, prošu.
HSB_2_288	Lampa, zymno-běłu barbu, prošu.
HSB_2_289	Lampa, pjećapjećdźesać procentow.
HSB_2_290	Lampa, sto procentow, prošu.
HSB_2_291	Swěca, přitulnu swěcu prošu.
HSB_2_292	Swěca, pjećaštyrceći procentow, prošu.
HSB_2_293	Swěca, dwacci procentow.
HSB_2_294	Lampa, ćopłu běłu swěcu, prošu.
HSB_2_295	Swěca, dźesać procentow.
HSB_2_296	Swěca, běłu barbu, prošu.
HSB_2_297	Lampa, daj pjećapjećdźesać procentow.
HSB_2_298	Lampa, hasnyć!
HSB_2_299	Swěca, ćiń swětlišo.
HSB_2_300	Swěca, třicci procentow, prošu.
HSB_2_301	Lampa, třicći procentow, prošu.
HSB_2_302	Swěca, módru barbu, prošu.
HSB_2_303	Lampa, šěsćdźesać procentow.
HSB_2_304	Lampa, daj pjećadwacći procentow.
HSB_2_305	Swěca, pjećadwacći procentow.
HSB_2_306	Lampa, daj dwaceći procentow.
HSB_2_307	Swěca, zymnu běłu barbu, prošu.
HSB_2_308	Swěcu, zaswěćić!
HSB_2_309	Lampa, zelene, prošu.
HSB_2_310	Lampa, zaswěć so.
HSB_2_311	Lampa, pjećaštyrcci procentow.
HSB_2_312	Hasń prošu swěcu
HSB_2_313	Lampa, čerwjene, prošu.
HSB_2_314	Lampa, daj wosomdźesat procentow.
HSB_2_315	Swěca, wonka je swětło dosć.
HSB_2_316	Swěca, oranž, prošu.
HSB_2_317	Lampa, swětlišo prošu.
HSB_2_318	Swěca, połsta procentow.
HSB_2_319	Lampa, oranžowe, prošu.
HSB_2_320	Lampa, čerwjenu barbu, prošu.
HSB_2_321	Swěca, pjatnaće procentow.
HSB_2_322	Ćopło-běłu swěcu, prošu.
HSB_2_323	Hasń prošu lampu
HSB_2_324	Swěca, romantiku.
HSB_2_325	Lampa, daj pjećatřicći procentow.
HSB_2_326	Swěca, daj dźesać procentow.
HSB_2_327	Swěca, ćopłu běłu barbu, prošu.
HSB_2_328	Lampa, pjećaštyrceći procentow.
HSB_2_329	Hasń lampu
HSB_2_330	Swěca, štyrcci procentow.
HSB_2_331	Swěca, daj sydomdźesać procentow.
HSB_2_332	Lampa, přitulnu swěcu prošu.
HSB_2_333	Lampa, daj pjećadźewjećdźesać procentow.
HSB_2_334	Lampa, oranžowu swěcu, prošu.
HSB_2_335	Swěca, pjećapjećdźesat procentow.
HSB_2_336	Lampa, pjećatřiceći procentow.
HSB_2_337	Swěca, oranžowu barbu, prošu.
HSB_2_338	Lampa, módru barbu, prošu.
HSB_2_339	Lampa, daj dźewjećdźesać procentow.
HSB_2_340	Lampa, módru swěcu, prošu.
HSB_2_341	Lampa, daj dwacći procentow.
HSB_2_342	Swěca, pjećaštyrcći procentow, prošu.
HSB_2_343	Swěca, wosomdźesać procentow.
HSB_2_344	Lampa, třicći procentow.
HSB_2_345	Lampu hasńć, prošu.
HSB_2_346	Swěca, pjećatřicći procentow.
HSB_2_347	Lampa, daj pjećašěsćdźesać procentow.
HSB_2_348	Swěca, ćopło-běłu swěcu, prošu.
HSB_2_349	Swěca, daj třiceći procentow.
HSB_2_350	Běłu barbu, prošu.
HSB_2_351	Lampa, přitulnu swěcu.
HSB_2_352	Swěca, pjećadźewjećdźesat procentow.
HSB_2_353	Swěca, pjećašěsćdźesać procentow, prošu.
HSB_2_354	Prošu, swěca, dźi on.
HSB_2_355	Lampa, daj pjećapołsta procentow.
HSB_2_356	Lampa, daj pjećadźewjećdźesat procentow.
HSB_2_357	Swěca, ćopło-běłe, prošu.
HSB_2_358	Lampa, daj třicći procentow.
HSB_2_359	Lampa, sydomdźesat procentow, prošu.
HSB_2_360	Lampa, oranžowu barbu, prošu.
HSB_2_361	Lampa, ćopło-běłu swěcu, prošu.
HSB_2_362	Lampa, je pře ćma.
HSB_2_363	Swěca, daj pjećaštyrceći procentow.
HSB_2_364	Swěca, třicći procentow, prošu.
HSB_2_365	Swěca, přitulnu barbu prošu.
HSB_2_366	Swěca, štyrcci procentow, prošu.
HSB_2_367	Hasń barbu
HSB_2_368	Swěca, daj šěsćdźesać procentow.
HSB_2_369	Lampa, pjećdźesać procentow, prošu.
HSB_2_370	Swěca, trošku romantiki prošu.
HSB_2_371	Zymnu běłu swěcu, prošu.
HSB_2_372	Swěca, daj pjećasydomdźesat procentow.
HSB_2_373	Swěca, dwaceći procentow, prošu.
HSB_2_374	Swěca, čerwjene, prošu.
HSB_2_375	Lampa, swěć kaž słónco.
HSB_2_376	Swěca, daj štyrceći procentow.
HSB_2_377	Lampa, daj dwacci procentow.
HSB_2_378	Lampa, daj šěsćdźesać procentow.
HSB_2_379	Swěca, dźi on.
HSB_2_380	Lampa, njespóznaju ničo.
HSB_2_381	Swěca, pjećadźewjećdźesać procentow, prošu.
HSB_2_382	Swěca, pjećatřicci procentow.
HSB_2_383	Swěca, daj štyrcći procentow.
HSB_2_384	Swěca, daj pjećapjećdźesat procentow.
HSB_2_385	Lampa, pjećašěsćdźesat procentow.
HSB_2_386	Swěca, daj pjećadwacci procentow.
HSB_2_387	Lampa, daj šěsćdźesat procentow.
HSB_2_388	Lampa, běłe, prošu.
HSB_2_389	Luba swěca, zaswěć so.
HSB_2_390	Lampa, čerwjenu swěcu, prošu.
HSB_2_391	Swěca, chcu spać.
HSB_2_392	Zymno-běłu barbu, prošu.
HSB_2_393	Lampa, štyrceći procentow, prošu.
HSB_2_394	Swěca, zymno-běłu barbu, prošu.
HSB_2_395	Lampa, trošku romantisce prošu.
HSB_2_396	Lampa, pjećadwacci procentow, prošu.
HSB_2_397	Lampa, pjećadźewjećdźesat procentow, prošu.
HSB_2_398	Swěca, daj sydomdźesat procentow.
HSB_2_399	Swěca, cyle swětło.
HSB_2_400	Swěca, daj wosomdźesać procentow.
HSB_2_401	Swěca, oranž barbu, prošu.
HSB_2_402	Swěca, zymnu běłu swěcu, prošu.
HSB_2_403	Swěca, pjećašěsćdźesat procentow.
HSB_2_404	Swěca, pjećatřiceći procentow, prošu.
HSB_2_405	Lampa, ćiń swětlišo.
HSB_2_406	Lampa, pjećaštyrcci procentow, prošu.
HSB_2_000	Dyrbiš rewoluciju tež přewjesć, k dobyću wjesć.
HSB_2_001	Nimale wšitke su za to, cyłodnjowske poskitki přichodnje bóle podpěrać.
HSB_2_002	Mój syn njemóže w přichodnych dnjach bohužel do šule přińć, dokelž je chory.
HSB_2_003	Nimo toho wopřijima studija prěnje pokazki na rozmyslowanja wo kulturnej přisłušnosći a narodnym přirjadowanju.
HSB_2_004	Pomjenowanje wužiwaše so poprawom za chłódkojty chódnik we wosebitym parku.
HSB_2_005	Wonej stajitej šklě do wopłokowanskej šklě, zo bychu tutu wopłokowali.
HSB_2_006	Wosada je cyle serbska, samo ryćerkubler derje serbsce rěči.
HSB_2_007	Tak by móhło drohotne eksponaty trajnje wustajeć.
HSB_2_008	Runje tak su informaciske zarjadowanja wo tutej temje na zapadźe jara derje wopytane.
HSB_2_009	Manfred Laduš wotrosće w Hermanecach a wopyta tam šulu.
HSB_2_010	Tale samozrozumliwosć so wot zamołwitych w druhich radnicach serbskeho sydlenskeho ruma prosće wobkedźbuje.
HSB_2_011	Dźensa wječor póńdu ja ze swojim mužom preč.
HSB_2_012	Čehodla rěčimy při tajkich pomocnych sadach poprawom wo "wóslacych mosćikach"?
HSB_2_013	Zo móžetej wobě rěči na jednym městnje prezentnej być, to měli zwučować.
HSB_2_014	Njeměli dwělować, ale wo našich sonach a požadosćach rěčeć.
HSB_2_015	Wjacerěčnosć je nětko tež za susodne prowincy a za nižozemske kulturne ministerstwo wažna tema.
HSB_2_016	Podpěrujemy zhromadne dźěło a mjezsobnu komunikaciju bjez předsudkow.
HSB_2_017	Jutrońčku widźiš muži w čornych suknjach na krasnje wupyšenych konjach jěchać.
HSB_2_018	Tak ma so hišće wuši kontakt ke komunam nawjazać.
HSB_2_019	Hdźe drje sym sej tehdom před šěsć lětdźesatkami tule njenahladnu knižku kupił?
HSB_2_020	Dypornak dypa mócnje do štoma a dźěra bywa přeco wjetša.
HSB_2_021	Mapu móža sej zajimowane serbske srjedźne šule w rěčnym centrumje darmotnje skazać.
HSB_2_022	W Rakojdach běchmy skupinku spěwarjow a spěwarkow załožili.
HSB_2_023	Mój změjemoj to tak a nic hinak, žane dalše diskusije!
HSB_2_024	Tam je wšitkich kandidatow župa Delnja Łužica namjetowała, kaž Statnik rjekny.
HSB_2_025	Wonej přińdźetej dźensa nocy, zo bychu pola nas přenocowali.
HSB_2_026	Šula njeměješe jenož dwě rjadowni, ale samo štyri.
HSB_2_027	Wona je na dworje a moluje z krydu na kamjenje.
HSB_2_028	Tute mjeno zwisuje z powěsću, kotraž je hišće dźensa mjez ludom žiwa.
HSB_2_029	Pój zaso ke mni, tam tola ničo njeje.
HSB_2_031	Zajim za maćiznu bě wulki.
HSB_2_032	Dźakuju so ći, zo sy mje miłosćiwje zdźeržał.
HSB_2_033	Woni běchu w měsće a nětko po puću domoj.
HSB_2_034	Wy sće přemało časa měli a njejsće domjace nadawki dokónčili.
HSB_2_035	Tute poskitki maja po móžnosći bjez barjerow być.
HSB_2_036	Najwjetše starosće načinja wohnjowym wobornikam zastaranje z hašenskej wodu.
HSB_2_037	Nastupajo organizaciju komunalneho zarjadnistwa měli mjezykomunalne zhromadne dźěło dale pohłubšić.
HSB_2_038	Hišće słónčko swěći, na wobzoru pak bliža so ćmowe mróčele z błyskami a hrimanjom.
HSB_2_039	Z tym móža so dźěći a młodostni za čestnohamtske dźěło motiwować.
HSB_2_040	Słyšiš ty žabu abo je to hinaše zwěrjo?
HSB_2_041	Łuki so dotal na małych ratarjow z wokolnych wsow přenajachu.
HSB_2_042	W tutym zwisku ma so potrjeba hromadźe z čłonskimi towarstwami zwěsćić.
HSB_2_043	Što to dyrbi?
HSB_2_044	Wonej stej přez dźěłowe kondicije pola dźěłarnistwa skoržiłoj.
HSB_2_045	Na cyrkwinskim dnju w Budyšinje běchu wobdźělnicy z braniborskich kónčin.
HSB_2_046	Hižo do sudniskeho rozsuda je so na pobrachowacych dopokazach dźěłało.
HSB_2_047	Wječor přinjese tajku chłódnosć, zo wón so skoro přez to wjeseleše.
HSB_2_048	Wón zasadźowaše so jara za serbske zajimy.
HSB_2_049	Ale njepraj to twojej maćeri, wona so jenož rozhori.
HSB_2_050	Serbsce drje tu lědma hišće rěča.
HSB_2_051	To nimam ani za demokratiski ani za transparentny proces.
HSB_2_052	Kulturne towarstwo Ćisk planuje, galeriju nad bywšej hródźu wutwarić.
HSB_2_053	Tehdy bě so zraniła a dyrbješe do chorownje.
HSB_2_054	Dźiwadłowa skupina je so mjez druhim nałožkej mejemjetanja wěnowała.
HSB_2_055	Zhromadnje z mnohimi akterami a institucijemi zastupujemy serbske naležnosće.
HSB_2_056	Hdyž njeje nichtó prědku, potom wothrajće nabok abo wróćo.
HSB_2_057	Ze słowami „na tutym zakładźe je rozmołwa móžna“ reagowaše wón na diskusijny přinošk sejmarja.
HSB_2_058	Ty sy so do Chrósćic na mjezynarodny festiwal namakała.
HSB_2_059	Tehdy njeje žadyn zwjazkowy prezident jich přinošk njehódnoćił.
HSB_2_060	Ty maš kluče stajnje w prawej ruce, prawje?
HSB_2_061	Potom skutkowaše jako nowowučer we Borkowach w Błótach.
HSB_2_062	Wój daritej sej lětsa k hodam kartki za koncert.
HSB_2_063	Ja sym na dźědowe bajki stajnje rady słuchała.
HSB_2_064	Mjerzanje na druhe ranje bě hišće wjetše.
HSB_2_065	Dźěłowy porjad zarjada Domowiny njeje z wobstatkom tutych wustawkow.
HSB_2_066	Zrjadować dyrbimy za to prawniske ramiki.
HSB_2_067	Jónu, jako Jasnička stwjelčko trawy wobfrinkoleše, zasłyša ćiche cyrčenje.
HSB_2_068	Dźensa přiwabjeja najwšelakoriše zarjadowanja hosći zbliska a zdaloka na Ćiskowski dwór.
HSB_2_069	Při škiće klimy měło so na najlěpšu eficiencu dźiwać.
HSB_2_070	Ze změnu zakładneho zakonja ma škit mjeńšin wyšu hódnotu.
HSB_2_071	Tak nastawaše jedna z najwjetšich hatnych krajin Němskeje.
HSB_2_072	Z tym njebě před lětom nichtó z nas ličił.
HSB_2_073	Přejemy jej wjele wuspěcha při wokrjesnym a měsćanskim wubědźowanju.
HSB_2_074	Dźensa su to wšo chłostajomne njeskutki.
HSB_2_075	Lěsy su dla suchoty, wohenjow a škódnikow chětro wobškodźene.
HSB_2_076	Prošu předčitaj mi powěsće.
HSB_2_077	Biotona pola nas bohužel njeeksistuje, dyrbimy wšitko do čorneje tony ćisnyć.
HSB_2_078	Tući pak, kiž wostanu dlěje we wosadźe, nawuknu tež serbsce.
HSB_2_079	A potom je wšitko jara spěšnje šło?
HSB_2_080	Nimo toho móža so hosćo direktnje před Klóšterskej stwičku pohosćować dać.
HSB_2_081	Potom přiwótřichu so směrowe wojowanja před pozadkom towaršnostnych změnow.
HSB_2_082	Tute prezentuje z modernymi zwukami w nowym šaće.
HSB_2_083	Nasta žałostny smjerd, kajkež móže jenož čert načinić.
HSB_2_084	Ja sym prochsrěbak won stajił, zo by ty proch srěbał.
HSB_2_085	K tomu bě hosći na swjedźenske popołdnjo do kafeterije Delnjoserbskeho gymnazija přeprosyła.
HSB_2_086	Zdźěla formuluja tež nowe sady.
HSB_2_087	My pojědźemy dźensa k optikarjej po nowe nawoči.
HSB_2_088	Prěnje župy su so w poslednim lětstotku wutworili.
HSB_2_089	Smjertny dźeń Marje Grólmusec bě zdobom pjata róčnica primicy Alojsa Andrickeho.
HSB_2_090	Tole prajo dźěch domoj, dokelž běše hižo jara pozdźe.
HSB_2_091	Njedźelu wužichmy dźeń za měsćanske wjedźenje při krasnym wjedrje.
HSB_2_092	W Italskej znaja tři wariacije woneje poliwki.
HSB_2_093	Wažne pak je, sej móc wułožowanja wo našich stawiznach wróćo zdobyć.
HSB_2_094	Tak ma bilingualny korpus nastać, na kotrehož zakładźe program funguje.
HSB_2_095	Předewšěm inwestujemy do wohnjoškita.
HSB_2_096	W Radworju dźěše na wopomnjenskim dnju swjateho Mikławša tež wo swjateho Měrćina.
HSB_2_097	Wona je w Róžeńće narodźena a w Budyšinje zemrěła.
HSB_2_098	Tež na zapadźe hrozy někotrym městam, zo so dale njewuwija.
HSB_2_099	Wona pohladny na wobraz a rjekny.
HSB_2_100	Ale nowy namjet ma wón za zajimawy a diskutabelny.
HSB_2_101	Wězo je to naročny nadawk, gmejny sylnić a jim wjace móžnosćow a swobody přewostajić.
HSB_2_102	Ty sy z busom z Waršawy do Zhorjelca přišoł.
HSB_2_103	Tutón hodźi so jako přijězd za nakładne awta a twarske mašiny wužiwać.
HSB_2_104	To dotal hišće njebě.
HSB_2_105	Žiwjenje běži kaž rěka a so stajnje měnja.
HSB_2_106	Prošu startuj awto.
HSB_2_107	Mój prajachmoj haj k tutomu poskitkej, ale njepodpisachmoj zrěčenje.
HSB_2_108	Potom so mjenujcy wot soboty na wonu njedźelu časniki přestaja.
HSB_2_109	Tam móže swoje nazhonjenja a přeća z wida měšćanosty přinošować.
HSB_2_110	Zdobom dožiwichu zajimawe hodźiny z wysokorjadnej politiskej wosobinu.
HSB_2_111	Ty njejsy scyła ničo činiła, sy jenož lěnja doma sedźała.
HSB_2_112	Přez cyłe lěto dóstawaše wot swojeho předstajeneho listy.
HSB_2_113	Na kóncu móže so wuknjacy w tesće sam přepruwować.
HSB_2_114	Dajće sej powědać wo dožiwjenjach při kolesowanju přez Ameriku.
HSB_2_115	Sowjo w lěsu spěwa cyle cunjo.
HSB_2_116	Wóslika přez rěku wjesć, njeje tak jednorje.
HSB_2_117	Cholowy, nohajcy a črije so wobuwamy a zuwamy.
HSB_2_118	Zdobom měło aktiwity w tym směrje podpěrać a nawjedować.
HSB_2_119	Dale wobsteji njedowěra mjez dotal konkurowacymaj skupinomaj dale.
HSB_2_120	Stajna rada je wobzamknyła, za tutón projekt wosebitu skupinu wutworić.
HSB_2_121	Słónco smaleše, pohonč so poćeše a čakaše z požadosću na słužobnu.
HSB_2_122	Hdźežkuli su Serbja, tam měła Domowina za nich a z nimi hromadźe dźěłać.
HSB_2_123	Blisko Slepoho su z wotkrywanskimi dźěłami za tam nastawace sydlišćo Nowy Miłoraz započeli.
HSB_2_124	Tak móhła dźěłarnička jako swětłownja nowych rěčnych rumow we Wojerecach skutkować.
HSB_2_125	Namjet je přiwzaty, hdyž je wjetšina přitomnych hłosakmanych za namjet hłosowała.
HSB_2_126	Woni stajichu mazane škleńčki preč a wzachu čiste z kamora.
HSB_2_127	Smy wuhibki w swobodnym staće znowa nastajili.
HSB_2_128	W dwutydźenskim rytmusu schadźuje so loni wutworjena dźěłowa skupina.
HSB_2_129	Tute koaliciju ze Zelenymi wotpokazuje a so město toho za mjeńšinowe knježerstwo zasadźuje.
HSB_2_130	Z wotpósłanjom skazanki zawjazaš so wšón wobsah skazanskeho korbika kupić.
HSB_2_131	Załožba za serbski lud spěchuje zarjadowanje jako projekt.
HSB_2_132	Bytosć přitomnostneje kultury wobsteji w diferencowanosći a wěcownosći.
HSB_2_133	Liberalni žadaja sej statne zrěčenje wo spušćomnym financowanju.
HSB_2_134	Redaktorka je zhromadnje z Radworskimi šulerjemi stronu tydźenskeje dźěćaceje přiłohi wuhotowała.
HSB_2_135	Za dźěło tajkeje milinarnje trjebaš tójšto wody, kotruž we Łužicy nimamy.
HSB_2_136	We woběmaj městomaj namakaja so slědy z antiki.
HSB_2_137	Jedyn runa so wulkej klamje, druhi njesměrnje wulkej heji.
HSB_2_138	Wuměłstwowa šula wostanje kruty wobstatk stawiznow Němskeje a wuměłstwa.
HSB_2_139	A dźensa so znjeměrnjeni prašamy, što z našej rěču budźe.
HSB_2_140	Do toho dyrbja archeologiske přepytowanja wotzamknjene być.
HSB_2_141	Serbski sydlenski rum bě prosće předaloko zdaleny.
HSB_2_142	Rjechtanje žabow w lěće je jara napinace, dokelž woni cyłu nóc rjechtaja.
HSB_2_143	Tohodla je swojim čłonam kaž tež cyłemu serbskemu ludej winowata.
HSB_2_144	Mjeńše wočakowanja na personal bychu wjac kandidatow wunjesli.
HSB_2_145	Tež tam druhdy jónu něchtó na kawči spi.
HSB_2_146	Naše nowe zwony a naša nowa wěža su so zańdźenu srjedu poswjećili.
HSB_2_147	Domowina budźe jej poboku!
HSB_2_148	Wopomnišćo Budyšin słuša k městu a jeho stawiznam.
HSB_2_149	Tajku dźě za kóždu dźěławosć na serbskim polu ani njetrjebaš.
HSB_2_150	Što je japoštołstwo?
HSB_2_151	Jenož we wuskim zhromadnym dźěle móžemy wužadanja přichodnych lět zmištrować.
HSB_2_152	Po přeću bamža dyrbja młodostni na kromy towaršnosće hić.
HSB_2_153	To su katalanšćina, baskišćina, walizišćina, iršćina, gelšćina, frizišćina a galicišćina.
HSB_2_154	Jeje swójbne mjeno bě so wězo hnydom na Wuhlerjec přeměniło.
HSB_2_155	Woni dźě nochcedźa, zo dóńdźe něhdy k demonstraciji sobudźěłaćerjow brunicowych jamow a milinarnjow.
HSB_2_156	Tuž móhła so w Delnjej Łužicy serbska šula wutworić.
HSB_2_157	Doma pokazach jej wobraz a prašach so ju, hač někoho na nim znaje.
HSB_2_158	K tomu předleži Wam jako delegaća naćisk rezolucije hłowneje zhromadźizny.
HSB_2_159	Wopyt je statysacy Panamačanow mobilizował a křesćansku wěru wožiwił.
HSB_2_160	Wój widźeštaj wjele konjow a kruwow na pastwje stejo.
HSB_2_161	Přiwšěm je internat samostatna institucija ze swójskim narokom a swójskimi nadawkami.
HSB_2_162	Zmjerzlina přińdźe z Italskeje!
HSB_2_163	Swój narodninski spěw spěwajo jědźechu dźěći zaso z busom domoj.
HSB_2_164	Prawidłownje wustupuja z programom na Wikach přirody w biosferowym rezerwaće w Stróži.
HSB_2_165	Jeje škitne wuhotowanje, technika a zastaranje z hašenskej wodu ma so polěpšić.
HSB_2_166	Mjez wobdźělnikami su tež Serbja.
HSB_2_167	Zdobom zeznaja šulerjo angažowanych ludźi ze Slepoho a wokoliny.
HSB_2_168	Wšitcy ludźo su před zakonjom jenacy.
HSB_2_169	Tohodla je minjeny štwórtk na zarjadowanje do Běłeje Wody přeprosyła.
HSB_2_170	Hladanje w internaće spěchuje wuwiće wosobiny kóždeho jednotliweho šulerja.
HSB_2_171	Woni wobhonjeja so wo młodźinje a zhonja wo hłubokej pačenosći ludźi.
HSB_2_172	Trjebamy dale tajke zmužite žony kaž ju.
HSB_2_173	Předsyda kubłanskeho wuběrka přeje sej wutworić serbsku staršisku iniciatiwu.
HSB_2_174	Zdobom wobaj wuzběhnyštaj, zo njeměli žane milinarnje do dojednaneho datuma hasnyć.
HSB_2_175	Jako hosći směmy Serbski kwasny ćah z Janšojc witać.
HSB_2_176	Wón widźeše najnowše wusyłanje serbskeho telewizijneho programa Wuhladka.
HSB_2_177	Domowina prócuje so wo polěpšenje nutřkowneje a wonkowneje komunikacije.
HSB_2_179	Woni tworja zakład za zhromadne skutkowanje třěšneho zwjazka.
HSB_2_180	Lubosć k ptačkam, přirodźe a rěči je tema, kotraž móhła tež Serbow wabić.
HSB_2_181	Z jězbu Fontany započa so turizm w Błótach.
HSB_2_182	Naš koncept je so wudanił.
HSB_2_183	Zarjad pytaše woteběrarja za zběrku jutrownych jejkow zemrěteho lěkarskeho pora z Berlina.
HSB_2_184	Dalše projekty maja slědować.
HSB_2_185	Wjeselu so na wulkotne akcije w našim wokrjesu Budyšin.
HSB_2_186	Kak "słodźi" zašłosć, jako wowka hišće warješe?
HSB_2_187	Nasta lisćina konkretnych dypkow za wotběh tajkeje konferency.
HSB_2_188	Nětko je wažne, w Zwjazkowej radźe dalšich zwjazkarjow namakać.
HSB_2_189	Serbja wobohaćeja towaršnostne žiwjenje w Němskej.
HSB_2_190	Zetkanje je wjace hač hladanje přez klučikowu dźěrku.
HSB_2_191	Dachu nam wotpowědne podłožki do rukow.
HSB_2_192	A poněčim je tež zwuk w tutej naležnosći razniši.
HSB_2_193	Spočatk noweho lěta ma kniha poprawom hotowa być.
HSB_2_194	Tele spowšitkownjace pomjenowanje wotbłyšćuje jeno dźěl nadawkow zarjadnišća.
HSB_2_195	Při tym měło něšto trajne za wašu domiznu nastać.
HSB_2_196	Zwjazk serbskich studowacych přewjedźeše w Praze chórowe lěhwo.
HSB_2_197	Ja sym knihu wróćo połožił kaž sym ju namakał.
HSB_2_198	Ty sam ničo njejsy, naš serbski cyłk je naša móc.
HSB_2_199	W tutych štyrjoch rjadownjach wučeštaj dwaj wučerjej, jedyn porjadny a jedyn pomocnik.
HSB_2_200	Tež nadawk za blidarske dźěła je mjeztym přepodaty.
HSB_2_201	Dyrbjachmy pak zwěsćić, zo njejsu so wšitke nadźije nastupajo Witaj-projekt spjelnili.
HSB_2_202	To so hač do Berlina wuskutkuje.
HSB_2_203	Rozsudźće so za jedne ze štyrjoch družinow dobropisow.
HSB_2_204	Wón je wotnětka čłon dźěłoweje skupiny za nutřkowne a komunalne naležnosće.
HSB_2_205	Pozdźišo namaka kniharnja swoje stajne městno w starym Serbskim domje při Lawskich hrjebjach.
HSB_2_206	Ty sy jutrowne jejko namakał a sy so tak jara přez jejko wjeselił.
HSB_2_207	Kubłarka wobkedźbuje začuća předšulskich hladajo na temu serbšćina w šuli.
HSB_2_209	Předsyda a městopředsydaj wukonjeja swoju funkciju zasadnje čestnohamtsce.
HSB_2_210	Serbam znaty je wón předewšěm jako technikar w Serbskim ludowym ansamblu.
HSB_2_211	Pod płatom zakryte leža tři jelenjowe rohizna.
HSB_2_212	Ja sej myslu, zo je to pola Tomaša chutne.
HSB_2_213	Zahajili sće kulturne lěćo ze židowskim wuměłstwom.
HSB_2_214	Běše to wustajeńca wobrazow našeho młodeho wuměłca Měrćina Nowaka z Njechornja.
HSB_2_215	Při tym změje spěchowanje serbskeje kultury wosebity wuznam.
